date,mean_temperature,max_temperature,min_temperature
2004-04-24,22.21249999999999,22.212499999999995,22.212499999999995
2004-04-25,24.172916666666655,24.172916666666666,24.172916666666666
2004-04-26,23.80624999999998,23.80624999999999,23.80624999999999
2004-04-27,24.004166666666663,24.004166666666663,24.004166666666663
2004-04-28,22.783333333333317,22.78333333333333,22.78333333333333
2004-04-29,22.622916666666654,22.622916666666665,22.622916666666665
2004-04-30,22.043749999999992,22.04375,22.04375
2004-05-01,21.624999999999996,21.624999999999996,21.624999999999996
2004-05-02,22.035416666666663,22.035416666666663,22.035416666666663
2004-05-03,21.799999999999997,21.799999999999994,21.799999999999994
2004-05-04,22.331249999999997,22.331249999999994,22.331249999999994
2004-05-05,22.435416666666654,22.435416666666665,22.435416666666665
2004-05-06,21.645833333333318,21.645833333333325,21.645833333333325
2004-05-07,19.78958333333333,19.789583333333336,19.789583333333336
2004-05-08,19.58749999999999,19.5875,19.5875
2004-05-09,20.266666666666662,20.26666666666667,20.26666666666667
2004-05-10,22.341666666666683,22.34166666666667,22.34166666666667
2004-05-11,22.42708333333333,22.427083333333332,22.427083333333332
2004-05-12,20.752083333333317,20.75208333333333,20.75208333333333
2004-05-13,20.981249999999992,20.98125,20.98125
2004-05-14,20.295833333333345,20.295833333333338,20.295833333333338
2004-05-15,18.625000000000004,18.625000000000004,18.625000000000004
2004-05-16,19.612500000000008,19.6125,19.6125
2004-05-17,19.25833333333333,19.258333333333336,19.258333333333336
2004-05-18,19.187499999999996,19.187499999999996,19.187499999999996
2004-05-19,19.516666666666662,19.51666666666667,19.51666666666667
2004-05-20,18.454545454545443,18.454545454545453,18.454545454545453
2004-05-21,16.1375,19.4,12.1
2004-05-22,17.425,19.7,15.9
2004-05-23,18.90833333333333,20.3,18.0
2004-05-24,19.245833333333334,21.9,17.0
2004-05-25,19.3125,20.4,18.2
2004-05-26,17.995833333333334,21.2,15.7
2004-05-27,15.320833333333335,18.9,11.8
2004-05-28,13.445833333333333,17.9,9.4
2004-05-29,15.070833333333331,20.9,9.3
2004-05-30,16.058333333333334,19.9,12.4
2004-05-31,16.829166666666666,20.4,12.8
2004-06-01,17.385416666666675,19.8,15.7
2004-06-02,17.653333333333325,17.653333333333332,17.653333333333332
2004-06-03,17.666666666666668,21.1,14.7
2004-06-04,18.324999999999996,19.9,17.0
2004-06-05,16.904166666666665,20.4,13.4
2004-06-06,16.404166666666665,20.7,13.4
2004-06-07,15.804166666666665,21.2,11.1
2004-06-08,17.087500000000002,21.3,12.5
2004-06-09,18.004166666666666,22.5,14.6
2004-06-10,17.820833333333333,20.5,15.0
2004-06-11,18.904166666666665,21.0,15.9
2004-06-12,14.420833333333333,17.9,9.2
2004-06-13,9.991666666666667,15.3,5.5
2004-06-14,11.1875,17.2,5.2
2004-06-15,14.158333333333333,19.8,10.4
2004-06-16,16.020833333333332,21.0,11.1
2004-06-17,19.858333333333334,27.2,15.8
2004-06-18,18.104166666666668,19.4,17.2
2004-06-19,18.849999999999998,22.6,16.7
2004-06-20,20.004166666666666,23.3,17.4
2004-06-21,19.441666666666666,22.9,16.2
2004-06-22,18.445833333333336,21.8,15.4
2004-06-23,19.93333333333333,24.2,17.5
2004-06-24,19.25,21.2,18.1
2004-06-25,19.224999999999998,21.1,18.0
2004-06-26,19.629166666666666,22.7,17.0
2004-06-27,21.04583333333333,24.3,19.6
2004-06-28,20.2,21.6,18.8
2004-06-29,21.6875,25.7,20.2
2004-06-30,21.041666666666668,23.6,19.5
2004-07-01,20.929166666666664,25.2,18.8
2004-07-02,21.316666666666666,26.0,17.9
2004-07-03,21.395833333333332,27.5,18.7
2004-07-04,16.320833333333333,18.2,14.7
2004-07-05,15.275,18.3,12.8
2004-07-06,15.308333333333332,20.3,10.4
2004-07-07,17.620833333333334,23.2,12.1
2004-07-08,16.858333333333334,19.2,14.8
2004-07-09,14.116666666666667,14.9,13.4
2004-07-10,15.175000000000002,16.1,14.0
2004-07-11,11.308333333333335,14.8,6.9
2004-07-12,11.941666666666665,17.2,5.4
2004-07-13,18.241666666666667,20.8,15.8
2004-07-14,20.491666666666667,26.0,16.9
2004-07-15,19.059782608695645,19.9,18.4
2004-07-16,15.854166666666666,17.2,14.7
2004-07-17,13.566666666666665,15.7,12.1
2004-07-18,13.158333333333337,15.5,10.0
2004-07-19,14.004166666666665,15.0,12.9
2004-07-20,15.654166666666667,18.5,13.2
2004-07-21,14.908333333333333,19.3,11.9
2004-07-22,15.591666666666663,19.8,13.0
2004-07-23,15.545833333333334,20.4,11.7
2004-07-24,15.720833333333333,21.1,10.8
2004-07-25,16.26666666666667,19.1,13.4
2004-07-26,17.541666666666668,21.1,13.7
2004-07-27,17.262500000000003,21.8,12.6
2004-07-28,18.79583333333333,21.0,16.8
2004-07-29,19.02916666666667,21.6,16.8
2004-07-30,17.408333333333335,21.3,14.9
2004-07-31,14.829166666666666,18.2,9.0
2004-08-01,14.4625,18.6,8.8
2004-08-02,14.854166666666664,19.7,10.0
2004-08-03,17.599999999999998,21.4,13.8
2004-08-04,20.737499999999997,24.0,19.0
2004-08-05,20.416666666666668,22.8,19.0
2004-08-06,19.600000000000005,23.1,16.6
2004-08-07,15.862499999999999,18.2,12.9
2004-08-08,11.870833333333332,16.6,5.9
2004-08-09,13.608695652173914,17.7,8.8
2004-08-10,20.356249999999992,20.35625,20.35625
2004-08-11,17.824999999999992,17.825,17.825
2004-08-12,17.35208333333333,17.352083333333336,17.352083333333336
2004-08-13,,,
2004-08-14,,,
2004-08-15,16.704166666666666,16.70416666666667,16.70416666666667
2004-08-16,17.829166666666655,17.829166666666666,17.829166666666666
2004-08-17,17.970833333333342,17.970833333333335,17.970833333333335
2004-08-18,18.47500000000001,18.475,18.475
2004-08-19,16.31041666666668,16.31041666666667,16.31041666666667
2004-08-20,13.816666666666665,13.816666666666665,13.816666666666665
2004-08-21,13.133333333333328,13.133333333333331,13.133333333333331
2004-08-22,13.743749999999999,13.743749999999999,13.743749999999999
2004-08-23,14.850000000000003,14.85,14.85
2004-08-24,16.64791666666667,16.64791666666667,16.64791666666667
2004-08-25,,,
2004-08-26,18.212499999999995,18.212500000000002,18.212500000000002
2004-08-27,18.847916666666666,18.847916666666666,18.847916666666666
2004-08-28,19.833333333333325,19.833333333333332,19.833333333333332
2004-08-29,19.402083333333334,19.402083333333334,19.402083333333334
2004-08-30,19.362500000000008,19.3625,19.3625
2004-08-31,18.337499999999995,18.337500000000006,18.337500000000006
2004-09-01,16.752083333333342,16.752083333333335,16.752083333333335
2004-09-02,17.77083333333333,17.770833333333332,17.770833333333332
2004-09-03,19.095833333333346,19.095833333333335,19.095833333333335
2004-09-04,16.175000000000008,16.175,16.175
2004-09-05,15.329166666666657,15.329166666666666,15.329166666666666
2004-09-06,16.464583333333334,16.464583333333334,16.464583333333334
2004-09-07,18.004166666666666,18.004166666666666,18.004166666666666
2004-09-08,18.668749999999992,18.66875,18.66875
2004-09-09,19.033333333333346,19.033333333333335,19.033333333333335
2004-09-10,21.25833333333333,21.258333333333333,21.258333333333333
2004-09-11,20.15000000000002,20.15000000000001,20.15000000000001
2004-09-12,20.86666666666667,20.86666666666667,20.86666666666667
2004-09-13,20.27291666666667,20.272916666666667,20.272916666666667
2004-09-14,19.31875000000001,19.318749999999998,19.318749999999998
2004-09-15,18.60208333333333,18.602083333333336,18.602083333333336
2004-09-16,20.470833333333317,20.470833333333328,20.470833333333328
2004-09-17,20.050000000000008,20.05,20.05
2004-09-18,19.58749999999999,19.587500000000002,19.587500000000002
2004-09-19,19.437500000000004,19.437500000000007,19.437500000000007
2004-09-20,17.78958333333333,17.789583333333336,17.789583333333336
2004-09-21,16.654166666666658,16.654166666666665,16.654166666666665
2004-09-22,16.308333333333334,16.308333333333334,16.308333333333334
2004-09-23,17.524999999999995,17.525,17.525
2004-09-24,19.377083333333346,19.377083333333335,19.377083333333335
2004-09-25,19.966666666666654,19.966666666666665,19.966666666666665
2004-09-26,20.44791666666667,20.447916666666664,20.447916666666664
2004-09-27,20.58541666666667,20.585416666666664,20.585416666666664
2004-09-28,19.714583333333334,19.714583333333334,19.714583333333334
2004-09-29,19.677083333333325,19.677083333333332,19.677083333333332
2004-09-30,21.043749999999992,21.043750000000003,21.043750000000003
2004-10-01,23.19583333333333,23.195833333333336,23.195833333333336
2004-10-02,22.89583333333333,22.895833333333332,22.895833333333332
2004-10-03,20.60000000000001,20.599999999999998,20.599999999999998
2004-10-04,18.843749999999996,18.843749999999996,18.843749999999996
2004-10-05,20.858333333333338,20.85833333333333,20.85833333333333
2004-10-06,19.543749999999992,19.543749999999996,19.543749999999996
2004-10-07,19.737500000000008,19.7375,19.7375
2004-10-08,20.675000000000008,20.675,20.675
2004-10-09,19.985416666666662,19.98541666666667,19.98541666666667
2004-10-10,19.762499999999992,19.7625,19.7625
2004-10-11,21.002083333333317,21.00208333333333,21.00208333333333
2004-10-12,21.63333333333333,21.633333333333336,21.633333333333336
2004-10-13,21.045833333333345,21.045833333333334,21.045833333333334
2004-10-14,21.252083333333317,21.25208333333333,21.25208333333333
2004-10-15,19.17708333333333,19.17708333333334,19.17708333333334
2004-10-16,19.72916666666667,19.729166666666664,19.729166666666664
2004-10-17,20.93124999999999,20.931250000000002,20.931250000000002
2004-10-18,22.622916666666654,22.622916666666665,22.622916666666665
2004-10-19,22.277083333333337,22.277083333333337,22.277083333333337
2004-10-20,21.52083333333333,21.520833333333332,21.520833333333332
2004-10-21,21.152083333333334,21.152083333333334,21.152083333333334
2004-10-22,21.38333333333333,21.383333333333336,21.383333333333336
2004-10-23,21.833333333333318,21.833333333333325,21.833333333333325
2004-10-24,22.35416666666667,22.354166666666668,22.354166666666668
2004-10-25,22.38333333333333,22.38333333333333,22.38333333333333
2004-10-26,22.543749999999992,22.54375,22.54375
2004-10-27,23.29166666666667,23.291666666666668,23.291666666666668
2004-10-28,22.910416666666663,22.910416666666663,22.910416666666663
2004-10-29,22.845833333333346,22.845833333333335,22.845833333333335
2004-10-30,21.970833333333346,21.970833333333335,21.970833333333335
2004-10-31,21.62083333333334,21.62083333333334,21.62083333333334
2004-11-01,20.89999999999999,20.9,20.9
2004-11-02,21.25833333333333,21.25833333333333,21.25833333333333
2004-11-03,22.21041666666667,22.21041666666667,22.21041666666667
2004-11-04,20.49374999999999,20.49375,20.49375
2004-11-05,20.670833333333334,20.670833333333327,20.670833333333327
2004-11-06,20.716666666666683,20.716666666666672,20.716666666666672
2004-11-07,21.300000000000008,21.299999999999997,21.299999999999997
2004-11-08,22.812499999999996,22.81249999999999,22.81249999999999
2004-11-09,21.810416666666654,21.810416666666665,21.810416666666665
2004-11-10,22.487500000000008,22.487500000000008,22.487500000000008
2004-11-11,22.50833333333333,22.50833333333333,22.50833333333333
2004-11-12,22.91458333333333,22.914583333333336,22.914583333333336
2004-11-13,22.941666666666666,22.941666666666674,22.941666666666674
2004-11-14,23.58749999999999,23.587500000000006,23.587500000000006
2004-11-15,23.937499999999996,23.937499999999996,23.937499999999996
2004-11-16,22.58749999999999,22.587500000000002,22.587500000000002
2004-11-17,21.90625,21.90625,21.90625
2004-11-18,21.597916666666663,21.597916666666663,21.597916666666663
2004-11-19,,,
2004-11-20,22.008333333333326,22.008333333333326,22.008333333333326
2004-11-21,22.716666666666683,22.71666666666667,22.71666666666667
2004-11-22,23.72916666666667,23.729166666666668,23.729166666666668
2004-11-23,23.38125000000001,23.381249999999998,23.381249999999998
2004-11-24,22.34375,22.34375,22.34375
2004-11-25,23.437500000000004,23.437500000000004,23.437500000000004
2004-11-26,23.808333333333337,23.808333333333337,23.808333333333337
2004-11-27,23.245833333333334,23.245833333333334,23.245833333333334
2004-11-28,23.812500000000004,23.812500000000004,23.812500000000004
2004-11-29,23.483333333333345,23.483333333333334,23.483333333333334
2004-11-30,24.36458333333333,24.364583333333332,24.364583333333332
2004-12-01,23.26041666666667,23.26041666666666,23.26041666666666
2004-12-02,21.795833333333334,21.79583333333333,21.79583333333333
2004-12-03,23.191666666666666,23.191666666666666,23.191666666666666
2004-12-04,23.670833333333345,23.670833333333338,23.670833333333338
2004-12-05,22.14583333333333,22.14583333333334,22.14583333333334
2004-12-06,20.51041666666667,20.51041666666666,20.51041666666666
2004-12-07,21.079166666666666,21.079166666666673,21.079166666666673
2004-12-08,22.88333333333333,22.883333333333336,22.883333333333336
2004-12-09,23.16458333333333,23.16458333333333,23.16458333333333
2004-12-10,24.045833333333345,24.045833333333334,24.045833333333334
2004-12-11,25.362499999999994,25.362499999999994,25.362499999999994
2004-12-12,26.004166666666677,26.004166666666666,26.004166666666666
2004-12-13,24.189583333333342,24.189583333333335,24.189583333333335
2004-12-14,23.69791666666667,23.697916666666668,23.697916666666668
2004-12-15,23.21041666666667,23.21041666666666,23.21041666666666
2004-12-16,25.072916666666668,25.072916666666668,25.072916666666668
2004-12-17,22.452083333333345,22.452083333333334,22.452083333333334
2004-12-18,22.466666666666683,22.46666666666667,22.46666666666667
2004-12-19,23.997916666666658,23.997916666666665,23.997916666666665
2004-12-20,25.0,25.0,25.0
2004-12-21,24.870833333333348,24.87083333333334,24.87083333333334
2004-12-22,23.46875,23.46875,23.46875
2004-12-23,23.545833333333338,23.54583333333333,23.54583333333333
2004-12-24,24.189583333333342,24.189583333333335,24.189583333333335
2004-12-25,24.829166666666655,24.829166666666662,24.829166666666662
2004-12-26,25.16875,25.168749999999992,25.168749999999992
2004-12-27,24.481250000000003,24.481250000000003,24.481250000000003
2004-12-28,24.95625,24.95625000000001,24.95625000000001
2004-12-29,25.733333333333345,25.733333333333334,25.733333333333334
2004-12-30,26.431249999999988,26.431250000000002,26.431250000000002
2004-12-31,26.931249999999988,26.931250000000002,26.931250000000002
2005-01-01,27.264583333333345,27.264583333333334,27.264583333333334
2005-01-02,26.41250000000002,26.41250000000001,26.41250000000001
2005-01-03,27.27083333333333,27.27083333333333,27.27083333333333
2005-01-04,24.750000000000004,24.750000000000004,24.750000000000004
2005-01-05,24.08749999999999,24.087500000000006,24.087500000000006
2005-01-06,25.683333333333323,25.683333333333334,25.683333333333334
2005-01-07,27.231250000000003,27.23125,27.23125
2005-01-08,26.416666666666668,26.41666666666666,26.41666666666666
2005-01-09,27.316666666666677,27.316666666666666,27.316666666666666
2005-01-10,28.29166666666666,28.29166666666666,28.29166666666666
2005-01-11,26.812500000000004,26.812500000000004,26.812500000000004
2005-01-12,26.593749999999996,26.593749999999996,26.593749999999996
2005-01-13,25.879166666666677,25.879166666666666,25.879166666666666
2005-01-14,26.783333333333317,26.78333333333333,26.78333333333333
2005-01-15,27.53958333333333,27.53958333333334,27.53958333333334
2005-01-16,26.88333333333333,26.88333333333334,26.88333333333334
2005-01-17,24.747916666666658,24.747916666666665,24.747916666666665
2005-01-18,24.845833333333342,24.845833333333335,24.845833333333335
2005-01-19,25.41458333333333,25.41458333333334,25.41458333333334
2005-01-20,25.487499999999997,25.487499999999997,25.487499999999997
2005-01-21,26.237499999999997,26.2375,26.2375
2005-01-22,24.906249999999996,24.906249999999996,24.906249999999996
2005-01-23,24.454166666666655,24.454166666666666,24.454166666666666
